StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2.1_First Click,Q2.1_Last Click,Q2.1_Page Submit,Q2.1_Click Count,Q2.3,Q2.4,Q2.5,Q2.7_1,Q3.1_Browser,Q3.1_Version,Q3.1_Operating System,Q3.1_Resolution,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q4.3,Q4.4_First Click,Q4.4_Last Click,Q4.4_Page Submit,Q4.4_Click Count,Q4.5,Q4.6_First Click,Q4.6_Last Click,Q4.6_Page Submit,Q4.6_Click Count,Q4.7,Q4.8_First Click,Q4.8_Last Click,Q4.8_Page Submit,Q4.8_Click Count,Q4.9,Q4.10_First Click,Q4.10_Last Click,Q4.10_Page Submit,Q4.10_Click Count,Q4.11,Q4.12_First Click,Q4.12_Last Click,Q4.12_Page Submit,Q4.12_Click Count,Q5.3,Q5.4_First Click,Q5.4_Last Click,Q5.4_Page Submit,Q5.4_Click Count,Q5.5,Q5.6_First Click,Q5.6_Last Click,Q5.6_Page Submit,Q5.6_Click Count,Q5.7,Q5.8_First Click,Q5.8_Last Click,Q5.8_Page Submit,Q5.8_Click Count,Q5.9,Q5.10_First Click,Q5.10_Last Click,Q5.10_Page Submit,Q5.10_Click Count,Q5.11,Q5.12_First Click,Q5.12_Last Click,Q5.12_Page Submit,Q5.12_Click Count,Q5.13,Q5.14_First Click,Q5.14_Last Click,Q5.14_Page Submit,Q5.14_Click Count,Q5.15,Q5.16_First Click,Q5.16_Last Click,Q5.16_Page Submit,Q5.16_Click Count,Q7.2_1,Q7.3,Q7.4,Q7.5,Q8.2_1,Q8.3,Q8.4,Q8.5,Q9.1,Q10.1,Q12.1,Q12.2,Q13.1,Q13.2,Q13.3,Q13.4,Q13.5,Q13.6,Q13.7,Q13.8,Q13.9,Q13.10,Q13.11,Q13.12,Q13.13,Q13.14,Q14.2,Q14.3,Q14.3_3_TEXT,Q14.4,Q14.4_4_TEXT,Q14.5,id,DeviceIdentifier
2021-05-10 04:45:05,2021-05-10 04:48:32,IP Address,178.198.242.8,100,207,True,2021-05-10 04:48:33,R_W8LwICkV3rL3rKF,,,,,46.17779541015625,6.12750244140625,anonymous,FR,0,0,4.743,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Macintosh,1440x900,R,D,N,10,10,30,2.621,2.621,18.115,1,13.5,20.042,20.042,22.307,1,21,1.182,1.182,9.767,1,15,1.462,28.146,31.56,2,234,1.482,1.482,15.865,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.99,(3),(2),(6) Tout à fait d'accord,Oui,Je décide très rapidement sur la base de mon intuition,Très négatifs (6),(3),"Ni d'accord, ni en désaccord",Plutôt en désaccord,D'accord,En désaccord,Plutôt d'accord,En désaccord,En désaccord,En désaccord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",19,Une Femme,,Etudiant.e,,,12646,
2021-05-10 04:43:37,2021-05-10 04:49:32,IP Address,188.155.232.115,100,355,True,2021-05-10 04:49:32,R_3FRkFhsJ3ShazpH,,,,,46.227996826171875,6.110992431640625,anonymous,FR,0,0,6.929,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,C,N,A,20,9,,,,,,,,,,,,,,,,,,,,,,,,,,Pouvoir,2.289,2.289,15.219,1,Bonheur,27.2,27.2,32.454,1,Bonheur,35.663,35.663,48.439,1,Injustice,1.395,1.395,4.618,1,Changement,1.353,1.353,9.621,1,Détente,2.06,2.06,12.789,1,Fatigue,1.416,1.416,6.527,1,5,(5),(4),(5),,,,,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,Très négatifs (6),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,Plutôt d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Tout à fait d'accord,Tout à fait d'accord,D'accord,D'accord,Plutôt d'accord,Tout à fait d'accord,21,Une Femme,,Etudiant.e,,,12799,
2021-05-10 04:37:21,2021-05-10 04:49:44,IP Address,213.55.244.5,100,743,True,2021-05-10 04:49:44,R_1HhouQjO8AlqmoM,,,,,46.5294036865234375,6.6123046875,anonymous,FR,9.426,50.656,149.918,21,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.91,Android 10,412x869,V,M,A,25,6,,,,,,,,,,,,,,,,,,,,,,,,,,Homme superficiel,7.718,7.718,64.393,1,"Bonheur, mais aussi un peu de peine. La planète dans laquelle il va devoir vivre n'est pas un cadeau.",1.542,1.542,3.785,1,Bonheur,2.335,7.109,8.336,2,Tristesse et regret de ne pas avoir un système qui distribue plus équitablement,1.822,33.168,33.959,3,Peur,3.147,10.924,11.358,2,Repos,1.77,63.376,65.109,5,"Trop d'information tue l'information, tout le monde peut y affirmer ce qu'il veut ou presque. Attention aux fake news",2.591,2.591,30.751,1,,,,,6.59,(6) Très probable,(6) Très susceptible,(5),Non,Je prends le temps de réfléchir avec précision,Très négatifs (6),Légèrement positifs (1),Plutôt d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,Tout à fait d'accord,Plutôt d'accord,Tout à fait d'accord,Tout à fait d'accord,Plutôt d'accord,D'accord,Tout à fait d'accord,D'accord,19,Une Femme,,Etudiant.e,,,12949,
2021-05-10 04:42:52,2021-05-10 04:50:01,IP Address,178.195.57.38,100,428,True,2021-05-10 04:50:01,R_1fdBYKDYoVG7g5L,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,7.224,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,No,Safari,14.0.3,Macintosh,1440x900,R,S,M,14,8,,,,,,,,,,,,,,,,,,,,,,,,,,Président,2.301,2.301,9.706,1,Tendresse,1.28,1.28,4.334,1,"Union, bonheur",0.908,0.908,3.157,1,Tristesse,0.777,0.777,5.116,1,Guerre,1.014,1.014,11.034,1,Repos,1.023,1.023,5.116,1,Réseaux sociaux,0.816,0.816,7.869,1,,,,,10,(6) Très probable,(6) Très susceptible,(6) Tout à fait d'accord,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,Très négatifs (6),Pas de sentiments positifs à propos du réchauffement climatique (0),D'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,22,Une Femme,,Etudiant.e,,,11320,
2021-05-10 04:38:17,2021-05-10 04:50:08,IP Address,178.196.174.213,100,711,True,2021-05-10 04:50:09,R_1IK3jNQz8DTc2Rk,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,36.185,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,No,Safari,14.1,Macintosh,1440x900,G,A,C,14,5,30,29.45,29.45,39.861,1,"13,4",1.425,1.425,38.448,1,1,1.499,25.757,33.315,2,15,17.792,17.792,20.29,1,234,1.007,34.953,37.136,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.44,(3),(3),(4),,,,,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(4),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt en désaccord,Plutôt d'accord,"Ni d'accord, ni en désaccord",Plutôt en désaccord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",25,Une Femme,,Etudiant.e,,,10795,
2021-05-10 04:40:23,2021-05-10 04:50:29,IP Address,129.194.72.103,100,605,True,2021-05-10 04:50:29,R_2q1riRqNNhKXQPr,,,,,46.191497802734375,6.1403045654296875,anonymous,FR,0,0,7.726,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,13.1.3,Macintosh,1440x900,P,M,M,25,3,30,73.009,73.009,75.537,1,"13,5",45.525,45.525,49.585,1,1,41.037,41.037,154.483,1,15,22.703,22.703,28.57,1,234,17.463,17.463,19.599,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.98,(5),(4),(4),Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",En désaccord,Plutôt d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt en désaccord,Plutôt en désaccord,Plutôt en désaccord,Plutôt d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,20,Une Femme,,Etudiant.e,,,12589,
2021-05-10 04:40:27,2021-05-10 04:50:32,IP Address,129.194.73.132,100,605,True,2021-05-10 04:50:32,R_31zyDweWDMTYhsK,,,,,46.191497802734375,6.1403045654296875,anonymous,FR,0,0,5.584,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,J,M,A,19,12,30,67.807,67.807,70.237,1,"13,5",58.94,58.94,67.256,1,"1,1",33.463,33.463,48.542,1,15,119.938,119.938,122.631,1,234,3.836,3.836,6.33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.35,(4),(4),(3),,,,,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,D'accord,Plutôt d'accord,Plutôt d'accord,D'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,20,Une Femme,,Etudiant.e,,,13300,
2021-05-10 04:31:18,2021-05-10 04:51:13,IP Address,31.10.169.106,100,1195,True,2021-05-10 04:51:14,R_YS0FGqiNB7U80hP,,,,,46.9904022216796875,6.93389892578125,anonymous,FR,0,0,33.478,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Windows NT 10.0,1536x864,T,E,E,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,Un parmi tant d autres,9.341,9.341,97.319,1,"Une vie qui commence et que l entourage devrait aider à devenir un être complet et correct, alors que c est rarement le cas.",4.738,21.387,91.13,3,"tradition, norme sociale, mais aussi illusion de stabilité et de sécurité. famille casée dans un cadre contrôlable. amour, enfants, chiens et chats, tout ça haha",4.892,23.806,36.314,2,"injustice sociale, oppression, abus, mais aussi paresse, ignorance, arrivisme, attachement aux valeurs matérielles.",4.746,4.746,65.808,1,"espoir, mais aussi dommage collatéral, gaspillage, limite fanatisme et manipulation.",5.61,111.567,147.977,4,"le 7e jour de la semaine. ",5.651,22.635,24.564,3,"outil d apprentissage, de perte de temps, de plaisir. a reste un outil, comme une cuillère à soupe, à moi de voir ce que je fais avec.",4.375,4.375,73.139,1,,,,,7,(5),(5),(5),Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),Plutôt d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,D'accord,D'accord,D'accord,Tout à fait d'accord,Plutôt d'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,39,Une Femme,,Autre (Spécifiez),active et étudiante,"peut être, ce serait utile d ajouter une option de réponse ""j achète pas ce type de produits"" (pour des raisons écolo/ou pas)",13330,
2021-05-10 04:46:30,2021-05-10 04:51:52,IP Address,86.111.138.80,100,322,True,2021-05-10 04:51:53,R_Y6vV5NeksseN8TD,,,,,46.2281951904296875,7.3572998046875,anonymous,FR,0,0,4.398,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,"Yes,No",Safari,14.0.3,Macintosh,1440x900,F,L,A,30,11,,,,,,,,,,,,,,,,,,,,,,,,,,rien de spécial,15.381,15.381,25.612,1,admiration,4.707,4.707,14.258,1,"dégoût ",2.092,2.092,29.391,1,"tristesse ",2.904,2.904,15.287,1,"rage ",1.468,1.468,6.815,1,"soulagement ",1.309,1.309,9.1,1,"reconnaissance ",1.032,1.032,6.097,1,7.92,(6) Très probable,(4),(3),,,,,Non,Je prends le temps de réfléchir avec précision,Très négatifs (6),Légèrement positifs (1),"Ni d'accord, ni en désaccord",Tout à fait d'accord,Tout à fait d'accord,Tout à fait d'accord,D'accord,Tout à fait d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,D'accord,Plutôt d'accord,D'accord,D'accord,Tout à fait d'accord,18,Une Femme,,Etudiant.e,,,12832,
2021-05-10 04:34:37,2021-05-10 04:52:06,IP Address,188.155.252.168,100,1048,True,2021-05-10 04:52:06,R_xhYT057vCtqWS5P,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,26.583,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome,90.0.4430.93,Macintosh,1440x900,P,V,N,5,12,,,,,,,,,,,,,,,,,,,,,,,,,,les politiques sont des guignols,1.421,1.421,35.248,1,fragilité,1.409,13.471,53.085,2,incertitude,1.578,1.578,18.343,1,tristesse,4.149,25.021,42.897,3,crainte,2.467,2.467,16.512,1,tranquilité,1.786,16.967,22.817,2,"moyen de communiquer ",3.062,3.062,22.646,1,,,,,12.09,(5),(3),(3),Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Pas de sentiments positifs à propos du réchauffement climatique (0),En désaccord,D'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt en désaccord,Plutôt d'accord,"Ni d'accord, ni en désaccord",En désaccord,Plutôt d'accord,Plutôt d'accord,En désaccord,Plutôt en désaccord,Plutôt d'accord,Plutôt d'accord,36,Une Femme,,Actif.ve,,il serait interessant de pouvoir justifier nos choix de réponse.,12721,
2021-05-10 04:45:26,2021-05-10 04:52:22,IP Address,85.3.12.66,100,416,True,2021-05-10 04:52:22,R_3fvKzl0h38yY6nC,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,6.017,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.1,Macintosh,1440x900,S,L,F,18,2,,,,,,,,,,,,,,,,,,,,,,,,,,Petit,54.03,54.03,72.647,1,début de la vie,2.704,2.704,13.345,1,"Heureux événement ",1.671,1.671,8.427,1,"beaucoup d'injustice et de tristesse ",2.258,48.329,51.709,2,1789,1.344,1.344,8.416,1,"Le jour d'inactivité ",1.185,1.185,10.773,1,"Meilleure création du vingtième siècle ",1.071,1.071,7.572,1,,,,,8,(5),(4),(5),Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(5),Légèrement positifs (1),Plutôt d'accord,Tout à fait d'accord,Plutôt d'accord,D'accord,Plutôt d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,En désaccord,D'accord,D'accord,Plutôt d'accord,D'accord,D'accord,Plutôt d'accord,21,Un Homme,,Etudiant.e,,,12565,
2021-05-10 04:42:57,2021-05-10 04:52:25,IP Address,31.164.35.42,100,567,True,2021-05-10 04:52:25,R_sI2FyTxR9x8pELn,,,,,46.2111053466796875,6.08880615234375,anonymous,FR,0,0,5.714,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,A,S,J,22,4,30,29.342,29.342,35.578,1,"13,5",39.337,39.337,43.638,1,"0,5 ",9.538,67.1,67.767,3,15,1.911,1.911,90.71,1,234,22.678,22.678,25.783,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,(4),(3),(3),,,,,Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,(3),Pas de sentiments positifs à propos du réchauffement climatique (0),En désaccord,D'accord,En désaccord,Plutôt d'accord,En désaccord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,Plutôt en désaccord,Plutôt en désaccord,Plutôt d'accord,Plutôt d'accord,20,Une Femme,,Etudiant.e,,,12463,
2021-05-10 04:45:54,2021-05-10 04:52:43,IP Address,178.197.221.235,100,409,True,2021-05-10 04:52:43,R_sUweHQvWIJMQTbH,,,,,47.4208984375,8.4055023193359375,anonymous,FR,2.48,7.23,10.131,2,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,No,Safari iPhone,14.0.3,iPhone,414x896,B,X,A,24,1,30,27.826,32.397,33.625,3,13.5,22.789,22.789,26.067,1,1,3.243,24.62,28.145,3,15,1.562,14.129,16.267,3,234,1.691,16.249,18.968,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.45,(3),(3),(3),,,,,Oui,Je décide très rapidement sur la base de mon intuition,(3),Légèrement positifs (1),Plutôt en désaccord,Tout à fait d'accord,"Ni d'accord, ni en désaccord",Tout à fait d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,Plutôt en désaccord,"Ni d'accord, ni en désaccord",D'accord,Plutôt d'accord,D'accord,D'accord,Tout à fait d'accord,22,Une Femme,,Etudiant.e,,,12664,
2021-05-10 04:46:26,2021-05-10 04:53:31,IP Address,129.194.79.220,100,425,True,2021-05-10 04:53:31,R_p0qiT0m58IH9zHj,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0.829,5.213,6.127,4,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Chrome iPad,87.0.4280.163,iPad,1024x1366,G,M,E,30,6,30 m,20.854,20.854,27.79,1,13.5 chf,20.974,20.974,25.176,1,1 CHF,29.797,29.797,38.604,1,15 CHF,12.478,12.478,25.099,1,216,28.515,28.515,35.472,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.93,(6) Très probable,(6) Très susceptible,(6) Tout à fait d'accord,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(4),Pas de sentiments positifs à propos du réchauffement climatique (0),D'accord,Tout à fait d'accord,Plutôt en désaccord,Tout à fait d'accord,Plutôt en désaccord,Plutôt d'accord,D'accord,D'accord,Tout à fait d'accord,Tout à fait d'accord,"Ni d'accord, ni en désaccord",Tout à fait d'accord,Plutôt d'accord,D'accord,44,Un Homme,,Etudiant.e,,plus de conscience pro-environnementale depuis que je suis votre cours,10948,
2021-05-10 04:49:08,2021-05-10 04:53:44,IP Address,213.55.225.31,100,276,True,2021-05-10 04:53:45,R_2TTxBMDemBt1JlE,,,,,47.368194580078125,8.5670928955078125,anonymous,FR,0,0,2.767,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,A,B,R,26,8,20,1.66,1.66,18.259,1,13.5,1.108,4.806,35.794,2,0.5,1.019,1.019,12.031,1,15,1.69,1.69,19.1,1,134,7.671,7.671,21.287,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,(3),(3),(3),Oui,Je me base en partie sur ma réflexion et en partie sur mon intuition,Très négatifs (6),Légèrement positifs (1),En désaccord,Tout à fait d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",En désaccord,Pas du tout d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,Plutôt d'accord,"Ni d'accord, ni en désaccord",D'accord,19,Une Femme,,Etudiant.e,,,12427,
2021-05-10 04:41:40,2021-05-10 04:53:49,IP Address,129.194.73.151,100,729,True,2021-05-10 04:53:49,R_2CQheA2cIDHIVGi,,,,,46.191497802734375,6.1403045654296875,anonymous,FR,0,0,21.345,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,No,Chrome,90.0.4430.93,Macintosh,1440x900,E,L,M,20,11,36,122.516,122.516,126.848,1,"13,5",49.496,49.496,58.887,1,1,68.944,71.261,75.497,3,15,47.565,47.565,57.712,1,234,69.347,69.347,72.779,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,(3),(3),(2),Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,Très négatifs (6),Pas de sentiments positifs à propos du réchauffement climatique (0),"Ni d'accord, ni en désaccord",Tout à fait d'accord,Plutôt en désaccord,D'accord,Plutôt d'accord,D'accord,Plutôt en désaccord,Plutôt en désaccord,Plutôt d'accord,Plutôt en désaccord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",D'accord,Plutôt d'accord,19,Une Femme,,Etudiant.e,,,12916,
2021-05-10 04:50:24,2021-05-10 04:55:03,IP Address,77.59.138.21,100,279,True,2021-05-10 04:55:04,R_3erI9s6cbwN5fuE,,,,,46.172698974609375,6.0731964111328125,anonymous,FR,0,0,4.091,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.3,Macintosh,1440x900,P,I,O,27,12,,,,,,,,,,,,,,,,,,,,,,,,,,amusement,2.929,2.929,13.493,1,attendrissement,2.536,2.536,6.753,1,réjouissance,0.824,0.824,9.811,1,compassion,0.852,0.852,5.798,1,colère,0.792,0.792,8.945,1,liberté,0.906,0.906,7.255,1,lassitude,0.83,0.83,6.193,1,10.08,(2),(4),(5),,,,,Non,Je prends le temps de réfléchir avec précision,(3),(3),Plutôt en désaccord,D'accord,En désaccord,Plutôt en désaccord,Plutôt en désaccord,En désaccord,En désaccord,En désaccord,Plutôt en désaccord,"Ni d'accord, ni en désaccord",Plutôt en désaccord,Plutôt d'accord,Plutôt en désaccord,"Ni d'accord, ni en désaccord",23,Un Homme,,Etudiant.e,,,10570,
2021-05-10 04:46:04,2021-05-10 04:55:06,IP Address,92.105.99.129,100,541,True,2021-05-10 04:55:06,R_1pGKHyNun71JzZQ,,,,,46.1952972412109375,6.1385040283203125,anonymous,FR,0,0,28.884,0,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins scientifiques et à leur publication.,J’ai lu et j’accepte les conditions concernant la mise en lien des données collectées dans l’étude présente avec les données de précédentes ou futures études à des fins scientifiques.,J'ai lu et j'accepte les conditions concernant l'utilisation des données à des fins pédagogiques.,Yes,Safari,14.0.2,Macintosh,1680x1050,E,F,L,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,sans intérêt,4.458,61.564,64.809,6,joie,1.215,1.215,7.519,1,amour entre deux personnes,0.878,0.878,12.42,1,misère,1.419,31.628,32.662,4,"désespoir ",1.306,1.306,11.777,1,repos,37.758,37.758,49.602,1,utile,1.845,1.845,9.942,1,10,(6) Très probable,(6) Très susceptible,(5),,,,,Non,Je me base en partie sur ma réflexion et en partie sur mon intuition,(4),Pas de sentiments positifs à propos du réchauffement climatique (0),"Ni d'accord, ni en désaccord",Tout à fait d'accord,"Ni d'accord, ni en désaccord",Plutôt d'accord,Plutôt d'accord,D'accord,"Ni d'accord, ni en désaccord",Plutôt en désaccord,Plutôt d'accord,Plutôt d'accord,"Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord","Ni d'accord, ni en désaccord",20,Un Homme,,Etudiant.e,,,12727,
